<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20260114,224500,1.16369,1.16391,1.16368,1.1638,2750
20260114,225000,1.1638,1.16383,1.1635,1.1636,2146
20260114,225500,1.16362,1.1638,1.16358,1.16366,2183
20260114,230000,1.16365,1.16393,1.16353,1.1636,4336
20260114,230500,1.1636,1.16402,1.1636,1.16384,6981
20260114,231000,1.16384,1.16431,1.16383,1.16423,6880
20260114,231500,1.16423,1.16433,1.16418,1.1642,3599
20260114,232000,1.16421,1.16436,1.16415,1.16427,4138
20260114,232500,1.16427,1.1644,1.16419,1.1643,3720
20260114,233000,1.16431,1.16441,1.16427,1.16437,3403
20260114,233500,1.16434,1.16452,1.16433,1.16447,4369
20260114,234000,1.16448,1.16473,1.16445,1.16466,3880
20260114,234500,1.16466,1.16474,1.16428,1.16431,5917
20260114,235000,1.16431,1.1644,1.16422,1.16434,3724
20260114,235500,1.16434,1.16448,1.16427,1.16435,3913
20260115,000000,1.16435,1.16441,1.16411,1.16431,4101
20260115,000500,1.16431,1.1645,1.16423,1.16449,2927
20260115,001000,1.16449,1.16462,1.16434,1.16448,1850
20260115,001500,1.16449,1.1646,1.1643,1.16433,1682
20260115,002000,1.16435,1.1645,1.16423,1.16446,1547
20260115,002500,1.16446,1.1645,1.16417,1.16427,1454
20260115,003000,1.1643,1.1644,1.1642,1.16426,1978
20260115,003500,1.16429,1.1645,1.16422,1.16447,1267
20260115,004000,1.16445,1.1645,1.16424,1.16428,1033
20260115,004500,1.16428,1.16445,1.16426,1.16443,1252
20260115,005000,1.16443,1.16463,1.1644,1.16442,1300
20260115,005500,1.16442,1.16451,1.16427,1.1644,1997
20260115,010000,1.16439,1.16452,1.16427,1.16434,3389
20260115,010500,1.16431,1.1646,1.1639,1.16452,73
20260115,011000,1.16449,1.16464,1.16409,1.16447,165
20260115,011500,1.16429,1.1646,1.16415,1.16447,223
20260115,012000,1.16447,1.1646,1.1641,1.16445,127
20260115,012500,1.16449,1.16462,1.16445,1.16459,250
20260115,013000,1.16456,1.16463,1.16437,1.1645,256
20260115,013500,1.1645,1.1646,1.16437,1.16444,199
20260115,014000,1.1646,1.1646,1.16423,1.16448,308
20260115,014500,1.16429,1.1646,1.16417,1.16443,439
20260115,015000,1.1645,1.1645,1.16413,1.16434,289
20260115,015500,1.16413,1.16443,1.1641,1.1642,344
20260115,020000,1.16419,1.1644,1.16402,1.16438,610
20260115,020500,1.16434,1.16461,1.16411,1.16448,1221
20260115,021000,1.16448,1.16467,1.16439,1.16458,1229
20260115,021500,1.16452,1.16465,1.16446,1.1646,1333
20260115,022000,1.1646,1.16471,1.16455,1.16462,1322
20260115,022500,1.16462,1.16465,1.16453,1.16459,828
20260115,023000,1.1646,1.1646,1.16444,1.16447,938
20260115,023500,1.16447,1.16464,1.16445,1.16455,2311
20260115,024000,1.16455,1.16464,1.16448,1.16449,1956
20260115,024500,1.16451,1.16457,1.16445,1.16455,857
20260115,025000,1.16452,1.16463,1.16446,1.1646,1359
20260115,025500,1.16458,1.1647,1.16458,1.16462,1063
20260115,030000,1.1646,1.16463,1.16446,1.16448,887
20260115,030500,1.16448,1.1645,1.1644,1.16442,1249
20260115,031000,1.16443,1.16443,1.16419,1.16427,1313
20260115,031500,1.16427,1.1644,1.16424,1.1643,1145
20260115,032000,1.16429,1.16452,1.16428,1.16448,1508
20260115,032500,1.16448,1.16455,1.16446,1.16449,1140
20260115,033000,1.16446,1.16451,1.16408,1.16414,2295
20260115,033500,1.16414,1.16431,1.16393,1.16396,2517
20260115,034000,1.16396,1.164,1.16373,1.16381,2371
20260115,034500,1.16383,1.164,1.16368,1.16386,2439
20260115,035000,1.16386,1.16411,1.16382,1.16391,2995
20260115,035500,1.16391,1.164,1.16369,1.16373,4750
20260115,040000,1.16373,1.16381,1.16352,1.16373,4427
20260115,040500,1.16375,1.16398,1.16368,1.16377,5631
20260115,041000,1.16377,1.16396,1.16374,1.16377,3397
20260115,041500,1.1638,1.16395,1.16375,1.16387,3314
20260115,042000,1.16386,1.16417,1.16381,1.16394,5468
20260115,042500,1.16394,1.164,1.16386,1.16393,3957
20260115,043000,1.16391,1.16412,1.16388,1.16396,3022
20260115,043500,1.16396,1.164,1.16338,1.16347,5120
20260115,044000,1.16347,1.1639,1.16328,1.16387,4835
20260115,044500,1.16386,1.16401,1.1637,1.16392,5003
20260115,045000,1.16392,1.16411,1.16389,1.16397,3756
